Profile [m],Longitude [degrees_east],Latitude [degrees_north],Bed [m],Surface [m],Ice Thickness [m]
10482.678,-49.573906,69.13514,-782.0,236.0,1019.0
10582.175,-49.572212,69.13449,-789.0,236.0,1026.0
10681.671,-49.570515,69.133835,-797.0,236.0,1033.0
10781.168,-49.56882,69.13318,-807.0,235.0,1043.0
10880.665,-49.567123,69.13253,-816.0,235.0,1052.0
10980.161,-49.56543,69.131874,-828.0,234.0,1063.0
11079.658,-49.563736,69.131226,-841.0,232.0,1073.0
11179.154,-49.56204,69.13057,-850.0,232.0,1082.0
11278.651,-49.560345,69.12992,-854.0,232.0,1086.0
11378.147,-49.55865,69.129265,-856.0,232.0,1088.0
11477.645,-49.556957,69.12862,-856.0,232.0,1089.0
11577.142,-49.55526,69.12796,-856.0,234.0,1091.0
11676.638,-49.553566,69.12731,-852.0,235.0,1088.0
11776.135,-49.551872,69.126656,-842.0,237.0,1080.0
11875.631,-49.55018,69.126,-831.0,239.0,1071.0
11975.128,-49.548485,69.12535,-820.0,242.0,1062.0
12074.625,-49.54679,69.124695,-808.0,245.0,1054.0
12174.121,-49.545097,69.12405,-797.0,248.0,1046.0
12273.618,-49.543404,69.12339,-784.0,252.0,1036.0
12373.114,-49.54171,69.12274,-768.0,256.0,1025.0
12472.611,-49.540016,69.122086,-754.0,261.0,1016.0
12572.107,-49.538322,69.12143,-740.0,267.0,1007.0
12671.6045,-49.53663,69.12078,-721.0,273.0,995.0
12771.614,-49.53466,69.120224,-709.0,280.0,989.0
12871.624,-49.532692,69.119675,-701.0,286.0,988.0
12971.634,-49.530724,69.11912,-696.0,291.0,988.0
13071.645,-49.528755,69.11857,-694.0,297.0,991.0
13171.654,-49.526787,69.11801,-694.0,302.0,997.0
13271.664,-49.52482,69.11746,-697.0,308.0,1006.0
13371.674,-49.52285,69.116905,-701.0,312.0,1014.0
13471.684,-49.52088,69.116356,-704.0,316.0,1021.0
13571.693,-49.518913,69.1158,-705.0,320.0,1026.0
13671.703,-49.516945,69.11524,-707.0,324.0,1031.0
13771.714,-49.514977,69.11469,-711.0,326.0,1038.0
13871.724,-49.51301,69.114136,-716.0,329.0,1045.0
13971.733,-49.511044,69.11359,-723.0,331.0,1054.0
14071.743,-49.509075,69.11303,-730.0,333.0,1063.0
14171.753,-49.507107,69.11248,-737.0,335.0,1072.0
14271.763,-49.50514,69.11192,-743.0,338.0,1082.0
14371.772,-49.503174,69.111374,-753.0,340.0,1093.0
14471.782,-49.501205,69.11082,-764.0,342.0,1106.0
14571.793,-49.49924,69.11026,-776.0,345.0,1121.0
14671.803,-49.497272,69.10971,-785.0,347.0,1133.0
14771.8125,-49.495304,69.10915,-790.0,350.0,1140.0
14871.822,-49.49334,69.108604,-791.0,353.0,1145.0
14971.832,-49.49137,69.10805,-792.0,355.0,1148.0
15071.842,-49.489407,69.10749,-792.0,358.0,1151.0
15171.852,-49.48744,69.10694,-794.0,362.0,1156.0
15271.861,-49.485474,69.106384,-798.0,365.0,1163.0
15371.872,-49.48351,69.105835,-808.0,366.0,1175.0
15471.882,-49.48154,69.10528,-817.0,369.0,1186.0
15571.892,-49.479576,69.10472,-827.0,370.0,1197.0
15671.901,-49.47761,69.10417,-839.0,372.0,1211.0
15771.911,-49.475643,69.103615,-843.0,373.0,1217.0
15871.921,-49.47368,69.103065,-850.0,374.0,1225.0
15971.931,-49.471714,69.10251,-851.0,376.0,1228.0
16071.941,-49.46975,69.10195,-855.0,377.0,1232.0
16171.951,-49.467785,69.1014,-858.0,378.0,1237.0
16271.961,-49.465816,69.100845,-861.0,380.0,1241.0
16371.971,-49.463852,69.10029,-864.0,381.0,1246.0
16471.98,-49.461887,69.09974,-868.0,382.0,1251.0
16571.99,-49.459923,69.09918,-870.0,384.0,1254.0
16672.0,-49.45796,69.09863,-870.0,385.0,1256.0
16768.469,-49.455704,69.09832,-884.0,387.0,1271.0
16864.94,-49.453445,69.098015,-899.0,388.0,1288.0
16961.408,-49.45119,69.09771,-913.0,390.0,1304.0
17057.877,-49.448933,69.0974,-930.0,390.0,1321.0
17154.348,-49.44668,69.09709,-948.0,390.0,1339.0
17250.816,-49.444424,69.09679,-966.0,391.0,1358.0
17347.285,-49.442165,69.09647,-987.0,392.0,1379.0
17443.754,-49.43991,69.09617,-1006.0,392.0,1398.0
17540.225,-49.437653,69.09586,-1025.0,392.0,1417.0
17636.693,-49.4354,69.09555,-1039.0,391.0,1431.0
17733.162,-49.433144,69.095245,-1051.0,391.0,1442.0
17829.63,-49.43089,69.09494,-1060.0,392.0,1452.0
17926.102,-49.42863,69.09463,-1065.0,392.0,1457.0
18022.57,-49.426376,69.09432,-1062.0,392.0,1454.0
18119.04,-49.42412,69.09402,-1053.0,392.0,1446.0
18215.508,-49.421867,69.093704,-1044.0,392.0,1436.0
18315.127,-49.419796,69.0942,-1089.0,393.0,1483.0
18414.746,-49.417725,69.094696,-1129.0,395.0,1524.0
18514.365,-49.415653,69.09519,-1161.0,397.0,1559.0
18613.984,-49.41358,69.09569,-1191.0,399.0,1591.0
18713.602,-49.41151,69.09618,-1219.0,402.0,1621.0
18813.22,-49.40944,69.09668,-1222.0,406.0,1629.0
18912.84,-49.407368,69.097176,-1203.0,410.0,1614.0
19012.459,-49.405296,69.09767,-1186.0,415.0,1601.0
19112.078,-49.403225,69.09817,-1170.0,420.0,1591.0
19211.697,-49.401154,69.09866,-1154.0,426.0,1580.0
19311.314,-49.399082,69.09916,-1134.0,431.0,1566.0
19410.934,-49.39701,69.099655,-1118.0,437.0,1556.0
19510.553,-49.394936,69.10015,-1118.0,444.0,1563.0
19610.172,-49.392864,69.10065,-1119.0,451.0,1570.0
19709.791,-49.390793,69.10114,-1119.0,458.0,1578.0
19809.408,-49.38872,69.10164,-1123.0,464.0,1587.0
19909.027,-49.38665,69.102135,-1127.0,470.0,1598.0
20008.646,-49.384575,69.10263,-1136.0,476.0,1613.0
20108.266,-49.382504,69.10313,-1149.0,481.0,1630.0
20207.885,-49.380432,69.10362,-1164.0,486.0,1651.0
20307.502,-49.378357,69.10412,-1181.0,491.0,1672.0
20407.121,-49.376286,69.104614,-1202.0,494.0,1696.0
20506.74,-49.37421,69.10511,-1219.0,496.0,1715.0
20606.36,-49.37214,69.105606,-1237.0,499.0,1736.0
20705.979,-49.370064,69.106094,-1263.0,501.0,1765.0
20805.596,-49.367992,69.10659,-1288.0,503.0,1792.0
20905.215,-49.365917,69.107086,-1313.0,504.0,1817.0
21004.834,-49.363846,69.10758,-1336.0,504.0,1841.0
21104.453,-49.36177,69.10808,-1366.0,504.0,1871.0
21204.072,-49.3597,69.108574,-1398.0,504.0,1902.0
21303.69,-49.357624,69.10907,-1412.0,503.0,1916.0
21403.309,-49.35555,69.109566,-1422.0,501.0,1924.0
21502.928,-49.353477,69.11006,-1435.0,500.0,1935.0
21599.705,-49.35106,69.11012,-1445.0,500.0,1946.0
21696.482,-49.34864,69.11019,-1449.0,500.0,1950.0
21793.26,-49.346226,69.11026,-1453.0,500.0,1954.0
21890.037,-49.343807,69.11032,-1457.0,500.0,1958.0
21986.814,-49.34139,69.11039,-1454.0,500.0,1954.0
22083.592,-49.338974,69.11045,-1447.0,500.0,1948.0
22180.37,-49.336555,69.11052,-1436.0,499.0,1936.0
22277.145,-49.334137,69.11058,-1429.0,499.0,1928.0
22373.922,-49.331722,69.11065,-1423.0,499.0,1922.0
22470.7,-49.329304,69.11072,-1416.0,499.0,1915.0
22567.477,-49.326885,69.11078,-1407.0,499.0,1907.0
22664.254,-49.32447,69.11085,-1397.0,501.0,1898.0
22761.031,-49.322052,69.11091,-1387.0,502.0,1890.0
22857.809,-49.319633,69.11098,-1375.0,505.0,1880.0
22954.586,-49.317215,69.11104,-1361.0,507.0,1868.0
23051.363,-49.3148,69.11111,-1346.0,510.0,1857.0
23148.14,-49.31238,69.11117,-1335.0,513.0,1849.0
23244.918,-49.309963,69.11124,-1329.0,517.0,1846.0
23341.695,-49.30755,69.1113,-1322.0,520.0,1843.0
23438.473,-49.30513,69.11137,-1313.0,524.0,1838.0
23535.25,-49.30271,69.111435,-1299.0,527.0,1826.0
23632.027,-49.300293,69.111496,-1292.0,531.0,1824.0
23731.73,-49.29783,69.11164,-1290.0,534.0,1825.0
23831.436,-49.295364,69.111786,-1287.0,538.0,1826.0
23931.139,-49.2929,69.11192,-1278.0,543.0,1821.0
24030.842,-49.290436,69.11207,-1268.0,547.0,1815.0
24130.547,-49.287968,69.11221,-1267.0,549.0,1817.0
24230.25,-49.285503,69.11236,-1267.0,552.0,1820.0
24329.955,-49.28304,69.1125,-1268.0,556.0,1824.0
24429.658,-49.280575,69.11264,-1268.0,560.0,1829.0
24529.363,-49.278107,69.112785,-1270.0,564.0,1834.0
24629.066,-49.275642,69.11293,-1273.0,567.0,1841.0
24728.771,-49.27318,69.113075,-1277.0,571.0,1849.0
24828.475,-49.27071,69.11321,-1282.0,575.0,1857.0
24928.178,-49.268246,69.11336,-1288.0,578.0,1866.0
25027.883,-49.26578,69.1135,-1293.0,581.0,1874.0
25127.586,-49.263313,69.11365,-1297.0,584.0,1881.0
25227.291,-49.26085,69.113785,-1300.0,586.0,1887.0
25326.994,-49.258385,69.11393,-1306.0,589.0,1896.0
25425.035,-49.256134,69.11428,-1313.0,593.0,1907.0
